categoria,subcategoria,nome,descricao,foto_url
Saúde,Clínica Veterinária,Vet Center Aracaju,,
Saúde,Clínica Veterinária,Clínica Bicho Feliz,,
Saúde,Clínica Veterinária,Hospital Veterinário Aracaju,,
Saúde,Clínica Veterinária,Clínica Vet Mais,,
Saúde,Clínica Veterinária,Clínica Mundo Pet,,
Saúde,Clínica Veterinária,Pet Care Aracaju,,
Saúde,Clínica Veterinária,Clínica Animal Life,,
Serviços,Clínicas estéticas,Emagrecentro,,
Serviços,Clínicas estéticas,Espaçolaser,,
Serviços,Clínicas estéticas,GiOlaser,,
Serviços,Clínicas estéticas,Royal Face,,
Serviços,Clínicas estéticas,Não+Pelo,,
Serviços,Clínicas estéticas,Onodera Estética,,
Serviços,Clínicas estéticas,Slimcenter,,
Serviços,Clínicas estéticas,Clínica Mais Saúde Estética,,
Serviços,Clínicas estéticas,Estética & Cia,,
Serviços,Clínicas estéticas,Clínica Corpo & Forma,,
Automotivo,Concessionária,Toyota Newland,,
Automotivo,Concessionária,Honda Prix,,
Automotivo,Concessionária,Chevrolet Viamar,,
Automotivo,Concessionária,Fiat Samam,,
Automotivo,Concessionária,Jeep Fiori,,
Automotivo,Concessionária,Volkswagen Samam,,
Automotivo,Concessionária,Renault Fama,,
Automotivo,Concessionária,Nissan Sanave,,
Automotivo,Concessionária,Hyundai Caoa,,
Automotivo,Concessionária,Ford Indiana,,
Imóveis e Construção,Construtora,Celi Engenharia,,
Imóveis e Construção,Construtora,Construtora União,,
Imóveis e Construção,Construtora,Stanza Engenharia,,
Imóveis e Construção,Construtora,Cosil Construções,,
Imóveis e Construção,Construtora,Norcon,,
Imóveis e Construção,Construtora,Impacto Engenharia,,
Imóveis e Construção,Construtora,RC Engenharia,,
Imóveis e Construção,Construtora,Engecopi,,
Imóveis e Construção,Construtora,Construtora Habitacional,,
Imóveis e Construção,Construtora,Construtora Tropical,,
Serviços,Contabilidade e Consultoria,Contal Contabilidade,,
Serviços,Contabilidade e Consultoria,Aju Contábil,,
Serviços,Contabilidade e Consultoria,Prime Contabilidade,,
Serviços,Contabilidade e Consultoria,Exata Contabilidade,,
Serviços,Contabilidade e Consultoria,Alfa Contábil,,
Serviços,Contabilidade e Consultoria,Delta Consultoria,,
Serviços,Contabilidade e Consultoria,Master Contabilidade,,
Serviços,Contabilidade e Consultoria,Fisco Contábil,,
Serviços,Contabilidade e Consultoria,Result Contabilidade,,
Serviços,Contabilidade e Consultoria,Contábil Nordeste,,
Profissionais Liberais,Contador,João Silva Contador,,
Profissionais Liberais,Contador,Carlos Andrade Contador,,
Profissionais Liberais,Contador,Escritório Contábil Oliveira,,
Profissionais Liberais,Contador,Contador Aracaju,,
Profissionais Liberais,Contador,Marcos Contabilidade,,
Profissionais Liberais,Contador,Lima Contador,,
Profissionais Liberais,Contador,Souza Contador,,
Profissionais Liberais,Contador,Escritório Contábil Central,,
Profissionais Liberais,Contador,Fernandes Contador,,
Profissionais Liberais,Contador,Rocha Contabilidade,,
Empresas e Negócios,Correspondentes bancários,Lotéricas Caixa,,
Empresas e Negócios,Correspondentes bancários,Bradesco Expresso,,
Empresas e Negócios,Correspondentes bancários,Banco do Brasil Correspondente,,
Empresas e Negócios,Correspondentes bancários,Santander Ponto de Atendimento,,
Empresas e Negócios,Correspondentes bancários,Banco 24Horas,,
Empresas e Negócios,Correspondentes bancários,Mais BB,,
Empresas e Negócios,Correspondentes bancários,Caixa Aqui,,
Empresas e Negócios,Correspondentes bancários,PagFácil,,
Empresas e Negócios,Correspondentes bancários,Pague Menos Serviços,,
Empresas e Negócios,Correspondentes bancários,MultiBank,,
Comércio,Cosméticos,O Boticário,,
Comércio,Cosméticos,Natura,,
Comércio,Cosméticos,"Quem Disse, Berenice?",,
Comércio,Cosméticos,Avon Store,,
Comércio,Cosméticos,Eudora,,
Comércio,Cosméticos,Beleza na Web,,
Comércio,Cosméticos,Sephora,,
Comércio,Cosméticos,Lojas REDE,,
Comércio,Cosméticos,Ikesaki,,
Comércio,Cosméticos,Mundo dos Cosméticos,,
Empresas e Negócios,Crédito e financiamento,Banco do Brasil,,
Empresas e Negócios,Crédito e financiamento,Caixa Econômica Federal,,
Empresas e Negócios,Crédito e financiamento,Bradesco,,
Empresas e Negócios,Crédito e financiamento,Santander,,
Empresas e Negócios,Crédito e financiamento,Itaú,,
Empresas e Negócios,Crédito e financiamento,BV Financeira,,
Empresas e Negócios,Crédito e financiamento,Crefisa,,
Empresas e Negócios,Crédito e financiamento,Losango,,
Empresas e Negócios,Crédito e financiamento,Omni Financeira,,
Empresas e Negócios,Crédito e financiamento,Credishop,,
Educação,Cursos livres,Senac Sergipe,,
Educação,Cursos livres,Senai Sergipe,,
Educação,Cursos livres,Microlins,,
Educação,Cursos livres,Prepara Cursos,,
Educação,Cursos livres,Grau Técnico,,
Educação,Cursos livres,Cebrac,,
Educação,Cursos livres,Wizard Cursos,,
Educação,Cursos livres,Fisk,,
Educação,Cursos livres,CNA,,
Educação,Cursos livres,Kumon,,
Comércio,Decoração,Tok&Stok,,
Comércio,Decoração,Camicado,,
Comércio,Decoração,Etna,,
Comércio,Decoração,Ferreira Costa,,
Comércio,Decoração,Magazine Luiza,,
Comércio,Decoração,Casas Bahia,,
Comércio,Decoração,Havan,,
Comércio,Decoração,Lojas Americanas,,
Comércio,Decoração,Leroy Merlin,,
Comércio,Decoração,Casa Design,,
Profissionais Liberais,Dentista,Oral Sin,,
Profissionais Liberais,Dentista,OdontoCompany,,
Profissionais Liberais,Dentista,Sorridents,,
Profissionais Liberais,Dentista,Implantes Odontológicos SE,,
Profissionais Liberais,Dentista,Clínica Sorriso Perfeito,,
Profissionais Liberais,Dentista,OdontoEstética,,
Profissionais Liberais,Dentista,Clínica Dental Prime,,
Profissionais Liberais,Dentista,Odonto Master,,
Profissionais Liberais,Dentista,Clínica Dente & Cia,,
Profissionais Liberais,Dentista,Centro Odontológico Aracaju,,
Serviços,Design e Comunicação Visual,Gráfica J Andrade,,
Serviços,Design e Comunicação Visual,Gráfica União,,
Serviços,Design e Comunicação Visual,Gráfica Atalaia,,
Serviços,Design e Comunicação Visual,Print Express,,
Serviços,Design e Comunicação Visual,Comunicação Visual SE,,
Serviços,Design e Comunicação Visual,Design Criativo Aracaju,,
Serviços,Design e Comunicação Visual,Studio Design SE,,
Serviços,Design e Comunicação Visual,Impacto Comunicação Visual,,
Serviços,Design e Comunicação Visual,Gráfica Rápida,,
Serviços,Design e Comunicação Visual,Visual Print,,
Comércio,Eletrodomésticos,Magazine Luiza,,
Comércio,Eletrodomésticos,Casas Bahia,,
Comércio,Eletrodomésticos,Ponto,,
Comércio,Eletrodomésticos,Fast Shop,,
Comércio,Eletrodomésticos,Havan,,
Comércio,Eletrodomésticos,Lojas Americanas,,
Comércio,Eletrodomésticos,Ricardo Eletro,,
Comércio,Eletrodomésticos,Insinuante,,
Comércio,Eletrodomésticos,Ferreira Costa,,
Comércio,Eletrodomésticos,Novo Mundo,,
Comércio,Equipamentos agrícolas,Casa do Agricultor,,
Comércio,Equipamentos agrícolas,Agroseed,,
Comércio,Equipamentos agrícolas,Agro Forte,,
Comércio,Equipamentos agrícolas,Agrocenter Sergipe,,
Comércio,Equipamentos agrícolas,Agromaq,,
Comércio,Equipamentos agrícolas,Casa Rural,,
Comércio,Equipamentos agrícolas,Agropecuária Nordeste,,
Comércio,Equipamentos agrícolas,Campo Forte,,
Comércio,Equipamentos agrícolas,Agro Bahia Máquinas,,
Comércio,Equipamentos agrícolas,Agro Comercial SE,,
Empresas e Negócios,Equipamentos industriais,WEG Equipamentos,,
Empresas e Negócios,Equipamentos industriais,Siemens,,
Empresas e Negócios,Equipamentos industriais,Schneider Electric,,
Empresas e Negócios,Equipamentos industriais,Atlas Copco,,
Empresas e Negócios,Equipamentos industriais,Metalúrgica Sergipe,,
Empresas e Negócios,Equipamentos industriais,Industrial SE,,
Empresas e Negócios,Equipamentos industriais,Equipamentos Nordeste,,
Empresas e Negócios,Equipamentos industriais,Indústria Mecânica SE,,
Empresas e Negócios,Equipamentos industriais,Tech Industrial,,
Empresas e Negócios,Equipamentos industriais,Máquinas & Cia,,
Educação,Escolas,Colégio Arquidiocesano,,
Educação,Escolas,Colégio Master,,
Educação,Escolas,Colégio Amadeus,,
Educação,Escolas,Colégio Ideal,,
Educação,Escolas,Colégio São Paulo,,
Educação,Escolas,Colégio Pio Décimo,,
Educação,Escolas,Colégio Purificação,,
Educação,Escolas,Colégio Jardins,,
Educação,Escolas,Colégio Salesiano,,
Educação,Escolas,Colégio CCPA,,
Serviços,Escritórios e Coworking,Caju Hub,,
Serviços,Escritórios e Coworking,Hub Sergipe,,
Serviços,Escritórios e Coworking,Regus,,
Serviços,Escritórios e Coworking,Spaces,,
Serviços,Escritórios e Coworking,Coworking Jardins,,
Serviços,Escritórios e Coworking,Aracaju Coworking,,
Serviços,Escritórios e Coworking,Office Place,,
Serviços,Escritórios e Coworking,Work Space SE,,
Serviços,Escritórios e Coworking,Connect Office,,
Serviços,Escritórios e Coworking,Smart Office,,
Comércio,Farmácia,Drogasil,,
Comércio,Farmácia,Droga Raia,,
Comércio,Farmácia,Pague Menos,,
Comércio,Farmácia,Drogaria São Paulo,,
Comércio,Farmácia,Farmácia Indiana,,
Comércio,Farmácia,Farmácia Permanente,,
Comércio,Farmácia,Farmácia Globo,,
Comércio,Farmácia,Drogaria Total,,
Comércio,Farmácia,Farmácia Preço Popular,,
Comércio,Farmácia,Drogaria Brasil,,
Comércio,Ferramentas e Ferragens,Ferreira Costa,,
Comércio,Ferramentas e Ferragens,Casa das Ferragens,,
Comércio,Ferramentas e Ferragens,Comercial São José,,
Comércio,Ferramentas e Ferragens,Casa do Parafuso,,
Comércio,Ferramentas e Ferragens,Ferragens Nordeste,,
Comércio,Ferramentas e Ferragens,Ferragens Brasil,,
Comércio,Ferramentas e Ferragens,Casa do Marceneiro,,
Comércio,Ferramentas e Ferragens,Ferramentas & Cia,,
Comércio,Ferramentas e Ferragens,Ferragens Central,,
Comércio,Ferramentas e Ferragens,Comercial do Aço,,
Profissionais Liberais,Ginecologista,Dra. Maria Oliveira,,
Profissionais Liberais,Ginecologista,Dra. Ana Paula Santos,,
Profissionais Liberais,Ginecologista,Dra. Juliana Lima,,
Profissionais Liberais,Ginecologista,Dra. Fernanda Alves,,
Profissionais Liberais,Ginecologista,Dra. Carla Souza,,
Profissionais Liberais,Ginecologista,Dra. Renata Ribeiro,,
Profissionais Liberais,Ginecologista,Dra. Patrícia Andrade,,
Profissionais Liberais,Ginecologista,Dra. Luciana Rocha,,
Profissionais Liberais,Ginecologista,Dra. Daniela Mendes,,
Profissionais Liberais,Ginecologista,Dra. Paula Nascimento,,
Alimentação,Hamburgueria,Seu Sergipe Burguer,,
Alimentação,Hamburgueria,Burger King,,
Alimentação,Hamburgueria,McDonald's,,
Alimentação,Hamburgueria,Madero,,
Alimentação,Hamburgueria,Tio Armênio,,
Alimentação,Hamburgueria,Hamburgueria 13,,
Alimentação,Hamburgueria,Texas Burguer,,
Alimentação,Hamburgueria,Smash Burguer Aju,,
Alimentação,Hamburgueria,Burguer House,,
Alimentação,Hamburgueria,The Best Burguer,,
Saúde,Hospital,Hospital Primavera,,
Saúde,Hospital,Hospital São Lucas,,
Saúde,Hospital,Hospital de Urgência de Sergipe,,
Saúde,Hospital,Hospital Cirurgia,,
Saúde,Hospital,Hospital Renascença,,
Saúde,Hospital,Hospital Unimed,,
Saúde,Hospital,Hospital Santa Isabel,,
Saúde,Hospital,Hospital Gabriel Soares,,
Saúde,Hospital,Hospital Nestor Piva,,
Saúde,Hospital,Hospital Fernando Franco,,
Lazer e Entretenimento,Hotéis,Del Mar Hotel,,
Lazer e Entretenimento,Hotéis,Radisson Hotel Aracaju,,
Lazer e Entretenimento,Hotéis,Celi Hotel,,
Lazer e Entretenimento,Hotéis,Aquarios Praia Hotel,,
Lazer e Entretenimento,Hotéis,Real Praia Hotel,,
Lazer e Entretenimento,Hotéis,Hotel Parque das Águas,,
Lazer e Entretenimento,Hotéis,Go Inn Aracaju,,
Lazer e Entretenimento,Hotéis,Ibis Aracaju,,
Lazer e Entretenimento,Hotéis,NB Hotéis,,
Lazer e Entretenimento,Hotéis,Simas Praia Hotel,,
Educação,Idiomas,Wizard,,
Educação,Idiomas,Fisk,,
Educação,Idiomas,CNA,,
Educação,Idiomas,Cultura Inglesa,,
Educação,Idiomas,CCAA,,
Educação,Idiomas,Yazigi,,
Educação,Idiomas,Skill Idiomas,,
Educação,Idiomas,Kumon Inglês,,
Educação,Idiomas,Top English,,
Educação,Idiomas,Yes! Idiomas,,
Imóveis e Construção,Imobiliária,Valor Imobiliária,,
Imóveis e Construção,Imobiliária,Imobiliária Santana,,
Imóveis e Construção,Imobiliária,MGF Imóveis,,
Imóveis e Construção,Imobiliária,Sena Imobiliária,,
Imóveis e Construção,Imobiliária,Imobiliária União,,
Imóveis e Construção,Imobiliária,Imobiliária Jardins,,
Imóveis e Construção,Imobiliária,Imobiliária Atalaia,,
Imóveis e Construção,Imobiliária,Imobiliária Sergipe,,
Imóveis e Construção,Imobiliária,Prime Imóveis,,
Imóveis e Construção,Imobiliária,Lopes Imobiliária,,
Comércio,Informática,Info Store,,
Comércio,Informática,Kalunga,,
Comércio,Informática,Magazine Luiza,,
Comércio,Informática,Casas Bahia,,
Comércio,Informática,Fast Shop,,
Comércio,Informática,Ponto,,
Comércio,Informática,Lojas Americanas,,
Comércio,Informática,Tech Tudo Informática,,
Comércio,Informática,Aracaju Informática,,
Comércio,Informática,Micro Center SE,,
Serviços,Jardinagem e Paisagismo,Verde Garden,,
Serviços,Jardinagem e Paisagismo,Jardim & Cia,,
Serviços,Jardinagem e Paisagismo,Paisagismo Sergipe,,
Serviços,Jardinagem e Paisagismo,Garden Center Aracaju,,
Serviços,Jardinagem e Paisagismo,Flora Paisagismo,,
Serviços,Jardinagem e Paisagismo,Mundo Verde Jardins,,
Serviços,Jardinagem e Paisagismo,Jardim Tropical,,
Serviços,Jardinagem e Paisagismo,Nature Garden,,
Serviços,Jardinagem e Paisagismo,Eco Paisagismo,,
Serviços,Jardinagem e Paisagismo,Viva Verde,,
Comércio,Joalheria,Vivara,,
Comércio,Joalheria,Pandora,,
Comércio,Joalheria,H.Stern,,
Comércio,Joalheria,Rommanel,,
Comércio,Joalheria,Monte Carlo,,
Comércio,Joalheria,Joalheria Natan,,
Comércio,Joalheria,Ouro Fino Joias,,
Comércio,Joalheria,Joalheria Aracaju,,
Comércio,Joalheria,Gold Store,,
Comércio,Joalheria,Joias & Cia,,
Saúde,Laboratório,Laboratório Sabin,,
Saúde,Laboratório,Laboratório Unimed,,
Saúde,Laboratório,Laboratório São Lucas,,
Saúde,Laboratório,Laboratório Hemolab,,
Saúde,Laboratório,Laboratório Bioclin,,
Saúde,Laboratório,Laboratório Diagnósticos,,
Saúde,Laboratório,Laboratório Vida,,
Saúde,Laboratório,Laboratório Central,,
Saúde,Laboratório,Laboratório Pasteur,,
Saúde,Laboratório,Laboratório Análise,,
Serviços,Lava Jato,Lava Jato Premium,,
Serviços,Lava Jato,Lava Jato Express,,
Serviços,Lava Jato,Lava Jato do Centro,,
Serviços,Lava Jato,Lava Jato Jardins,,
Serviços,Lava Jato,Lava Jato Atalaia,,
Serviços,Lava Jato,Lava Jato Vip,,
Serviços,Lava Jato,Lava Jato Top Clean,,
Serviços,Lava Jato,Lava Jato Rápido,,
Serviços,Lava Jato,Lava Jato Brasil,,
Serviços,Lava Jato,Lava Jato Master,,
Serviços,Lavanderias,5àsec,,
Serviços,Lavanderias,Dry Wash,,
Serviços,Lavanderias,Lavanderia Lava & Leva,,
Serviços,Lavanderias,Lavanderia Express,,
Serviços,Lavanderias,Lavanderia Central,,
Serviços,Lavanderias,Lavanderia Jardins,,
Serviços,Lavanderias,Lavanderia Atalaia,,
Serviços,Lavanderias,Lavanderia Premium,,
Serviços,Lavanderias,Lavanderia Rápida,,
Serviços,Lavanderias,Lavanderia Clean,,
Comércio,Livraria,Livraria Escariz,,
Comércio,Livraria,Livraria Leitura,,
Comércio,Livraria,Saraiva,,
Comércio,Livraria,Nobel,,
Comércio,Livraria,Livraria Cultura,,
Comércio,Livraria,Livraria Central,,
Comércio,Livraria,Livraria Católica,,
Comércio,Livraria,Livraria do Estudante,,
Comércio,Livraria,Livraria Aracaju,,
Comércio,Livraria,Livraria Saber,,
Serviços,Locação de equipamentos,Casa do Construtor,,
Serviços,Locação de equipamentos,Locar Equipamentos,,
Serviços,Locação de equipamentos,Rental Equipamentos,,
Serviços,Locação de equipamentos,Loca Tudo,,
Serviços,Locação de equipamentos,Equip Loc,,
Serviços,Locação de equipamentos,Aracaju Locações,,
Serviços,Locação de equipamentos,Master Locações,,
Serviços,Locação de equipamentos,Loca Fácil,,
Serviços,Locação de equipamentos,Top Locações,,
Serviços,Locação de equipamentos,Loca Center,,
Profissionais Liberais,Massoterapia,Espaço Relax,,
Profissionais Liberais,Massoterapia,Studio Zen,,
Profissionais Liberais,Massoterapia,Massoterapia Aracaju,,
Profissionais Liberais,Massoterapia,Clínica Relaxar,,
Profissionais Liberais,Massoterapia,Terapia do Corpo,,
Profissionais Liberais,Massoterapia,Espaço Bem Estar,,
Profissionais Liberais,Massoterapia,Masso Center,,
Profissionais Liberais,Massoterapia,Zen Terapias,,
Profissionais Liberais,Massoterapia,Corpo & Mente,,
Profissionais Liberais,Massoterapia,Equilíbrio Terapias,,
Comércio,Materiais de construção,Ferreira Costa,,
Comércio,Materiais de construção,C&C Casa e Construção,,
Comércio,Materiais de construção,Comercial São José,,
Comércio,Materiais de construção,Casa das Construções,,
Comércio,Materiais de construção,Construcenter,,
