categoria,subcategoria,nome,descricao,foto_url
Imóveis e Construção,Construtora,GL Construtora,Empreendimentos imobiliários,
Imóveis e Construção,Construtora,Construtora EMPE,Apartamentos em Aracaju,
Imóveis e Construção,Imobiliária,Gonzalez Imobiliária,Imóveis em Aracaju e Sergipe,
Saúde,Hospital,Hospital Primavera,Tecnologia de ponta na Rede Primavera,
Saúde,Hospital,Hospital São Lucas,Desde 1969, referência em cardiologia,
Saúde,Hospital,Hospital Hapvida,Cobertura completa em Sergipe,
Saúde,Clínica Veterinária,Univet,Clínica veterinária 24h,
Saúde,Clínica Veterinária,Afetto,Clínica com laboratório próprio,
Saúde,Clínica Veterinária,Clínica São Lázaro,Estrutura completa na Farolândia,
Saúde,Clínica Veterinária,Diagnovet,Clínica, pet shop e laboratório,
Saúde,Clínica Veterinária,Toca dos Gatos,Especializada em felinos,
Saúde,Clínica Veterinária,Mr. Zoo,Clínica veterinária e pet shop,
Saúde,Plano de Saúde,Hapvida,Cobertura ambulatorial e hospitalar,
Saúde,Plano de Saúde,Unimed Sergipe,Cooperativa médica tradicional,
Saúde,Plano de Saúde,Bradesco Saúde,Plano nacional,
Saúde,Plano de Saúde,Amil,Plano nacional,
Saúde,Laboratório,Centro de Diagnóstico Unimed,Análises clínicas e exames,
Saúde,Laboratório,Lamac,40 anos cuidando de você,
Saúde,Laboratório,Solim Laboratórios,Aceita diversos planos,
Saúde,Laboratório,Santa Anna,Análises clínicas,
Automotivo,Concessionária,Serigy Veículos,Concessionária Honda,
Automotivo,Concessionária,Samam Fiat,Concessionária Fiat,
Automotivo,Concessionária,Chevrolet Contorno,Concessionária Chevrolet,
Automotivo,Auto Peças,O Barateiro Auto Peças,Tradição em peças automotivas,
Automotivo,Auto Peças,Auto Peças Macedo,Desde 1980 em Aracaju,
Automotivo,Auto Peças,Auto Peças Cardoso,Mais de 30 anos no mercado,
Automotivo,Auto Peças,JS Peças,Filial em Aracaju,
Automotivo,Auto Peças,Silveira Auto Peças,Tradicional em Aracaju,
Serviços,Pet Shop,Cobasi,Pet shop e clínica no RioMar,
Serviços,Pet Shop,Meupet,Quase 10 anos de mercado,
Serviços,Pet Shop,PetMania,Atendimento veterinário e produtos,
Serviços,Pet Shop,Petville,Centro de estética e hotel pet,
Serviços,Pet Shop,Univet,Clínica e pet shop 24h,
Serviços,Barbearia,Castelo Barber Club,Barbearia premiada,
Serviços,Salão de Beleza,Lottus Saúde e Estética,Salão multifuncional 13 de Julho,
